tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
150,-30,-34,1.123,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-30.3,-34.0,0,0.0
155,-30,-34,1.121,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-30.3,-33.9,0,0.0
160,-33,-33,1.013,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-32.9,-33.3,0,0.0
165,-27,-31,1.147,0.00,0.00,20.85,20.86,0.130,0.124,491.3,1012.7,19.6,37.8,-27.3,-31.3,0,0.0
170,-26,-27,1.066,0.00,0.00,20.85,20.86,0.130,0.124,491.3,1012.7,19.6,37.8,-25.8,-27.5,0,0.0
175,-27,-23,0.866,0.00,0.00,20.85,20.86,0.130,0.125,491.4,1012.7,19.6,37.7,-26.9,-23.3,0,0.0
180,-25,-21,0.838,0.00,0.00,20.85,20.86,0.130,0.126,491.4,1012.7,19.6,37.7,-25.0,-21.0,0,0.0
185,-14,-20,1.444,0.00,0.00,20.85,20.86,0.130,0.126,491.4,1012.7,19.6,37.7,-14.0,-20.3,0,0.0
190,-17,-15,0.853,0.00,0.00,20.85,20.85,0.129,0.126,491.4,1012.7,19.6,37.7,-17.3,-14.8,0,0.0
195,-18,-14,0.774,0.00,0.00,20.85,20.85,0.129,0.126,491.4,1012.7,19.6,37.7,-17.6,-13.6,0,0.0
200,-24,-14,0.608,0.00,0.00,20.85,20.86,0.129,0.126,491.4,1012.7,19.6,37.7,-23.6,-14.3,0,0.0
205,-25,-15,0.595,0.00,0.00,20.85,20.86,0.129,0.126,491.4,1012.7,19.6,37.7,-24.8,-14.7,0,0.0
210,-14,-8,0.591,0.00,0.00,20.85,20.85,0.129,0.127,491.4,1012.7,19.6,37.7,-14.0,-8.3,0,0.0
215,-4,-1,0.235,0.00,0.00,20.85,20.85,0.129,0.129,491.4,1012.7,19.6,37.7,-3.6,-0.8,0,0.0
220,-3,-2,0.483,0.00,0.00,20.85,20.85,0.129,0.129,491.4,1012.7,19.6,37.7,-3.4,-1.6,0,0.0
225,-13,-7,0.576,0.00,0.00,20.85,20.85,0.129,0.128,491.4,1012.7,19.6,37.7,-13.0,-7.5,0,0.0
230,-14,-13,0.892,0.00,0.00,20.85,20.85,0.129,0.127,491.4,1012.7,19.6,37.7,-14.1,-12.6,0,0.0
235,-15,-13,0.921,0.00,0.00,20.85,20.85,0.129,0.126,491.1,1012.8,19.6,37.9,-14.7,-13.5,0,0.0
240,-8,-9,1.022,0.00,0.00,20.85,20.85,0.129,0.127,491.1,1012.8,19.6,37.9,-8.5,-8.7,0,0.0
245,7,4,0.566,0.13,0.03,20.85,20.85,0.129,0.130,491.1,1012.8,19.6,37.9,6.8,3.9,0,0.0
250,35,30,0.881,0.71,0.17,20.85,20.84,0.129,0.135,491.1,1012.8,19.6,37.9,34.6,30.5,0,0.0
255,68,56,0.826,1.37,0.33,20.85,20.84,0.129,0.141,491.1,1012.8,19.6,37.9,67.6,55.9,0,0.0
260,69,50,0.726,1.37,0.33,20.85,20.84,0.129,0.139,491.1,1012.8,19.6,37.9,69.1,50.2,0,0.0
265,50,40,0.802,1.00,0.24,20.85,20.84,0.129,0.137,491.1,1012.8,19.6,37.9,49.5,39.7,0,0.0
270,75,70,0.940,1.56,0.37,20.85,20.84,0.129,0.144,491.1,1012.8,19.6,37.9,74.9,70.4,0,0.0
275,87,71,0.821,1.77,0.42,20.85,20.83,0.129,0.144,491.1,1012.8,19.6,37.9,87.1,71.5,0,0.0
280,66,49,0.746,1.31,0.31,20.85,20.84,0.129,0.139,491.1,1012.8,19.6,37.9,65.7,49.0,0,0.0
285,43,31,0.731,0.86,0.20,20.85,20.84,0.129,0.136,491.1,1012.8,19.6,37.9,43.0,31.5,0,0.0
290,16,12,0.725,0.32,0.08,20.85,20.85,0.129,0.132,491.1,1012.8,19.6,37.9,16.0,11.6,0,0.0
295,4,-6,-1.305,0.05,0.01,20.85,20.85,0.129,0.128,491.1,1012.8,19.6,38.3,4.4,-5.8,0,0.0
300,-13,-18,1.381,0.00,0.00,20.85,20.85,0.129,0.125,491.1,1012.8,19.6,38.3,-13.3,-18.4,0,0.0
305,-13,-6,0.431,0.00,0.00,20.85,20.85,0.129,0.128,491.1,1012.8,19.6,38.3,-13.0,-5.6,0,0.0
310,30,30,0.990,0.64,0.15,20.85,20.85,0.127,0.133,491.1,1012.8,19.6,38.3,30.3,30.0,0,0.0
315,39,35,0.903,0.80,0.19,20.85,20.85,0.127,0.134,491.1,1012.8,19.6,38.3,38.9,35.1,0,0.0
320,64,62,0.976,1.34,0.32,20.85,20.84,0.127,0.140,491.1,1012.8,19.6,38.3,63.9,62.4,0,0.0
325,89,88,0.988,1.88,0.45,20.85,20.84,0.127,0.145,491.1,1012.8,19.6,38.3,89.4,88.3,0,0.0
330,92,87,0.948,1.92,0.46,20.85,20.83,0.127,0.145,491.1,1012.8,19.6,38.3,92.1,87.3,0,0.0
335,97,92,0.947,2.03,0.48,20.85,20.83,0.127,0.146,491.1,1012.8,19.6,38.3,97.1,92.0,0,0.0
340,111,113,1.019,2.36,0.56,20.85,20.83,0.127,0.150,491.1,1012.8,19.6,38.3,111.3,113.4,0,0.0
345,143,140,0.980,3.00,0.72,20.85,20.82,0.127,0.156,491.1,1012.8,19.6,38.3,142.8,140.0,0,0.0
350,148,141,0.954,3.09,0.74,20.85,20.82,0.127,0.156,491.1,1012.8,19.6,38.3,147.6,140.7,0,0.0
355,145,130,0.898,2.99,0.72,20.85,20.82,0.127,0.154,491.0,1012.7,19.6,38.8,145.0,130.2,0,0.0
360,125,132,1.058,2.67,0.64,20.85,20.83,0.127,0.154,491.0,1012.7,19.6,38.8,124.6,131.9,0,0.0
365,173,185,1.074,3.71,0.89,20.85,20.82,0.127,0.165,491.0,1012.7,19.6,38.8,172.6,185.3,0,0.0
370,199,197,0.991,4.20,1.00,20.85,20.81,0.127,0.167,491.0,1012.7,19.6,38.8,199.2,197.5,0,0.0
375,178,168,0.945,3.72,0.89,20.85,20.82,0.127,0.162,491.0,1012.7,19.6,38.8,178.3,168.4,0,0.0
380,144,135,0.937,3.00,0.72,20.85,20.82,0.127,0.155,491.0,1012.7,19.6,38.8,143.7,134.7,0,0.0
385,102,98,0.962,2.15,0.51,20.85,20.83,0.127,0.147,491.0,1012.7,19.6,38.8,102.4,98.5,0,0.0
390,67,63,0.944,1.40,0.33,20.85,20.84,0.127,0.140,491.0,1012.7,19.6,38.8,67.0,63.3,0,0.0
395,44,39,0.875,0.91,0.22,20.85,20.84,0.127,0.135,491.0,1012.7,19.6,38.8,44.3,38.8,0,0.0
400,37,30,0.804,0.75,0.18,20.85,20.85,0.127,0.133,491.0,1012.7,19.6,38.8,37.3,30.0,0,0.0
405,26,23,0.906,0.53,0.13,20.85,20.85,0.127,0.132,491.0,1012.7,19.6,38.8,25.5,23.1,0,0.0
410,13,13,1.023,0.28,0.07,20.85,20.85,0.127,0.130,491.0,1012.7,19.6,38.8,13.2,13.5,0,0.0
415,6,7,1.152,0.13,0.03,20.85,20.85,0.127,0.129,491.0,1012.7,19.6,38.8,6.2,7.1,0,0.0
420,11,16,1.435,0.26,0.06,20.85,20.85,0.127,0.131,491.1,1012.7,19.6,38.7,11.2,16.1,0,0.0
425,39,42,1.082,0.84,0.20,20.85,20.85,0.127,0.136,491.1,1012.7,19.6,38.7,39.1,42.3,0,0.0
430,65,67,1.030,1.38,0.33,20.85,20.84,0.127,0.141,491.1,1012.7,19.6,38.7,64.9,66.8,0,0.0
435,66,67,1.013,1.40,0.34,20.85,20.83,0.132,0.146,491.1,1012.7,19.6,38.7,66.2,67.0,0,0.0
440,67,61,0.909,1.38,0.33,20.85,20.83,0.132,0.145,491.1,1012.7,19.6,38.7,66.7,60.6,0,0.0
445,54,39,0.727,1.07,0.26,20.85,20.84,0.132,0.140,491.1,1012.7,19.6,38.7,53.7,39.1,0,0.0
450,20,12,0.617,0.38,0.09,20.85,20.84,0.132,0.135,491.1,1012.7,19.6,38.7,19.8,12.2,0,0.0
455,-4,-4,0.971,0.00,0.00,20.85,20.85,0.132,0.132,491.1,1012.7,19.6,38.7,-4.4,-4.2,0,0.0
460,-7,-11,1.532,0.00,0.00,20.85,20.85,0.132,0.130,491.1,1012.7,19.6,38.7,-7.4,-11.4,0,0.0
465,-3,-14,4.642,0.00,0.00,20.85,20.85,0.132,0.130,491.1,1012.7,19.6,38.7,-3.0,-14.0,0,0.0
470,-13,-23,1.780,0.00,0.00,20.85,20.85,0.132,0.128,491.1,1012.7,19.6,38.7,-13.0,-23.2,0,0.0
475,-26,-30,1.124,0.00,0.00,20.85,20.85,0.132,0.126,491.1,1012.7,19.6,38.7,-26.2,-29.5,0,0.0
480,-28,-15,0.540,0.00,0.00,20.85,20.85,0.132,0.129,491.1,1012.7,19.6,38.4,-28.0,-15.1,0,0.0
485,5,9,1.727,0.13,0.03,20.85,20.85,0.132,0.134,491.1,1012.7,19.6,38.4,5.3,9.2,0,0.0
490,11,12,1.053,0.23,0.06,20.85,20.85,0.132,0.135,491.1,1012.7,19.6,38.4,10.9,11.5,0,0.0
495,8,3,0.387,0.15,0.04,20.85,20.85,0.132,0.133,491.1,1012.7,19.6,38.4,8.2,3.2,0,0.0
500,-2,-1,0.447,0.00,0.00,20.85,20.85,0.132,0.132,491.1,1012.7,19.6,38.4,-1.9,-0.9,0,0.0
505,-2,-1,0.397,0.00,0.00,20.85,20.85,0.132,0.132,491.1,1012.7,19.6,38.4,-2.0,-0.8,0,0.0
510,-3,-6,2.018,0.00,0.00,20.85,20.85,0.132,0.131,491.1,1012.7,19.6,38.4,-3.0,-6.1,0,0.0
515,-6,-8,1.369,0.00,0.00,20.85,20.85,0.132,0.131,491.1,1012.7,19.6,38.4,-6.2,-8.4,0,0.0
520,-4,-6,1.470,0.00,0.00,20.85,20.85,0.132,0.131,491.1,1012.7,19.6,38.4,-4.3,-6.3,0,0.0
525,-1,1,-1.101,0.00,0.00,20.85,20.85,0.132,0.133,491.1,1012.7,19.6,38.4,-1.3,1.4,0,0.0
530,5,10,1.822,0.13,0.03,20.85,20.85,0.132,0.134,491.1,1012.7,19.6,38.4,5.2,9.6,0,0.0
535,19,32,1.634,0.46,0.11,20.85,20.84,0.132,0.139,491.1,1012.7,19.6,38.4,19.3,31.5,0,0.0
540,47,69,1.480,1.09,0.26,20.85,20.84,0.132,0.147,491.1,1012.7,19.6,38.7,46.7,69.1,0,0.0
