tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,-13,-14,1.088,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-12.8,-13.9,0,0.0
5,-16,-15,0.965,0.00,0.00,20.85,20.86,0.130,0.124,265.9,1012.7,19.6,37.3,-15.8,-15.2,0,0.0
10,-11,-15,1.355,0.00,0.00,20.85,20.86,0.130,0.124,265.9,1012.7,19.6,37.3,-11.1,-15.1,0,0.0
15,-9,-14,1.550,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-9.3,-14.4,0,0.0
20,-11,-14,1.246,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-10.9,-13.5,0,0.0
25,-9,-12,1.350,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-9.2,-12.4,0,0.0
30,-9,-13,1.401,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-9.1,-12.7,0,0.0
35,-9,-14,1.438,0.00,0.00,20.85,20.86,0.130,0.125,265.9,1012.7,19.6,37.3,-9.5,-13.6,0,0.0
40,-11,-15,1.352,0.00,0.00,20.85,20.86,0.130,0.124,265.9,1012.7,19.6,37.3,-11.1,-15.0,0,0.0
45,-14,-16,1.178,0.00,0.00,20.85,20.86,0.130,0.124,265.9,1012.7,19.6,37.3,-13.6,-16.0,0,0.0
50,-16,-16,1.038,0.00,0.00,20.85,20.86,0.130,0.124,265.9,1012.7,19.6,37.3,-15.5,-16.1,0,0.0
55,-15,-16,1.068,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-14.9,-15.9,0,0.0
60,-19,-25,1.281,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-19.1,-24.5,0,0.0
65,-26,-24,0.932,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-25.6,-23.8,0,0.0
70,-34,-25,0.738,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-33.6,-24.8,0,0.0
75,-27,-26,0.949,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-27.0,-25.7,0,0.0
80,-24,-26,1.089,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-23.8,-26.0,0,0.0
85,-24,-23,0.954,0.00,0.00,20.85,20.86,0.130,0.125,414.0,1012.7,19.6,37.6,-23.7,-22.6,0,0.0
90,-14,-11,0.800,0.00,0.00,20.85,20.86,0.130,0.127,414.0,1012.7,19.6,37.6,-14.1,-11.3,0,0.0
95,-1,-4,2.461,0.00,0.00,20.85,20.85,0.130,0.129,414.0,1012.7,19.6,37.6,-1.5,-3.6,0,0.0
100,1,-8,-10.421,0.00,0.00,20.85,20.85,0.130,0.128,414.0,1012.7,19.6,37.6,0.8,-8.2,0,0.0
105,-13,-18,1.390,0.00,0.00,20.85,20.86,0.130,0.126,414.0,1012.7,19.6,37.6,-13.3,-18.4,0,0.0
110,-24,-26,1.071,0.00,0.00,20.85,20.86,0.130,0.124,414.0,1012.7,19.6,37.6,-23.9,-25.6,0,0.0
115,-28,-28,1.012,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-27.7,-28.1,0,0.0
120,-26,-33,1.299,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-25.5,-33.2,0,0.0
125,-28,-34,1.204,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-27.9,-33.6,0,0.0
130,-31,-34,1.086,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-31.5,-34.2,0,0.0
135,-35,-34,0.962,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-35.2,-33.9,0,0.0
140,-34,-34,0.989,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-34.1,-33.7,0,0.0
145,-29,-34,1.162,0.00,0.00,20.85,20.86,0.130,0.123,491.3,1012.7,19.6,37.8,-29.1,-33.8,0,0.0
