tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,96.0,0.0,0.0,0.0
5,0.0,99.6,0.0,0.0,0.0
10,0.0,98.4,0.0,0.0,0.0
15,0.0,97.4,0.0,0.0,0.0
20,0.0,97.4,0.0,0.0,0.0
25,0.0,96.8,0.0,0.0,0.0
30,0.0,97.0,0.0,0.0,0.0
35,0.0,95.0,0.0,0.0,0.0
40,0.0,90.2,0.0,0.0,0.0
45,0.0,85.4,0.0,0.0,0.0
50,0.0,84.0,0.0,0.0,0.0
55,0.0,86.8,0.0,0.0,0.0
60,12.1,93.6,7.3,8.7,24.3
65,47.0,102.6,28.3,57.1,63.0
70,77.7,116.8,46.7,100.0,72.9
75,94.4,132.8,56.7,100.0,59.6
80,96.4,147.2,58.0,100.0,58.3
85,95.1,155.6,57.2,100.0,59.1
90,91.6,157.8,55.1,100.0,61.4
95,91.5,156.2,55.0,100.0,61.4
100,89.7,152.8,53.9,100.0,62.6
105,89.6,149.4,53.9,100.0,62.7
110,88.6,147.4,53.3,100.0,63.4
115,90.1,146.0,54.2,100.0,62.4
120,88.9,146.8,53.5,100.0,63.2
125,90.8,147.6,54.6,110.0,68.1
130,88.7,149.0,53.3,125.0,79.2
135,87.3,151.2,52.5,125.0,80.4
140,87.3,153.2,52.5,125.0,80.4
145,86.4,155.0,52.0,125.0,81.3
150,87.0,156.4,52.3,125.0,80.7
155,89.5,158.0,53.8,125.0,78.5
160,88.5,159.2,53.2,125.0,79.3
165,87.2,160.4,52.4,125.0,80.5
170,86.3,161.4,51.9,125.0,81.4
175,86.0,163.0,51.7,125.0,81.7
180,86.0,164.6,51.7,125.0,81.6
185,86.7,165.2,52.1,135.0,87.5
190,85.6,166.0,51.5,150.0,98.5
195,86.3,166.0,51.9,150.0,97.6
200,85.4,166.4,51.3,150.0,98.7
205,85.7,167.0,51.5,150.0,98.3
210,86.3,167.6,51.9,150.0,97.6
215,88.2,168.4,53.0,150.0,95.5
220,87.0,169.8,52.3,150.0,96.9
225,85.9,171.0,51.7,150.0,98.1
230,87.0,172.2,52.3,150.0,96.8
235,86.8,173.0,52.2,150.0,97.1
240,87.4,173.0,52.5,150.0,96.5
245,89.0,173.8,53.5,160.0,101.2
250,84.5,173.0,50.8,175.0,116.3
255,86.8,173.0,52.2,175.0,113.3
260,87.4,173.0,52.6,175.0,112.4
265,86.6,173.8,52.1,175.0,113.5
270,86.6,174.0,52.1,175.0,113.5
275,86.7,174.0,52.1,175.0,113.4
280,84.0,175.2,50.5,175.0,117.0
285,85.0,176.2,51.1,175.0,115.6
290,85.1,177.2,51.1,175.0,115.6
295,84.5,178.0,50.8,175.0,116.3
300,85.3,178.0,51.3,175.0,115.2
305,84.4,178.0,50.7,185.0,123.4
310,79.9,179.0,48.1,200.0,140.6
315,78.4,179.2,47.1,200.0,143.3
320,76.7,180.4,46.1,200.0,146.5
325,73.9,181.0,44.4,200.0,152.1
330,71.4,181.2,43.0,200.0,157.3
335,68.7,182.0,41.3,200.0,163.8
340,56.2,182.0,33.8,200.0,208.1
