tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
0,222,229,1.034,4.72,1.13,20.87,20.54,0.106,0.447,67.2,1028.0,19.3,30.0,221.7,229.3,10,3.7
5,243,248,1.020,5.15,1.23,20.87,20.51,0.106,0.475,67.2,1028.0,19.3,30.0,242.8,247.8,0,12.8
10,248,252,1.017,5.26,1.26,20.87,20.50,0.106,0.481,67.2,1028.0,19.3,30.0,248.0,252.1,0,17.6
15,249,253,1.018,5.27,1.26,20.87,20.50,0.106,0.483,67.2,1028.0,19.3,30.0,248.6,253.0,0,12.5
20,251,257,1.023,5.34,1.28,20.87,20.50,0.106,0.489,67.2,1028.0,19.3,30.0,251.5,257.3,0,8.9
25,267,281,1.054,5.71,1.36,20.87,20.47,0.106,0.525,67.2,1028.0,19.3,30.0,267.0,281.5,0,8.5
30,257,255,0.994,5.42,1.29,20.87,20.49,0.106,0.486,228.2,1028.0,19.3,39.8,256.7,255.1,0,8.2
35,607,556,0.916,12.59,3.01,20.87,20.61,0.106,0.350,228.2,1028.0,19.3,39.8,607.2,556.0,0,8.6
40,345,321,0.930,7.19,1.72,20.87,20.73,0.106,0.247,228.2,1028.0,19.3,39.8,345.5,321.2,9,4.4
45,243,227,0.934,5.07,1.21,20.88,20.77,0.103,0.203,228.2,1028.0,19.3,39.8,243.3,227.3,15,11.4
50,207,199,0.963,4.34,1.04,20.88,20.79,0.103,0.191,228.2,1028.0,19.3,39.8,206.9,199.2,15,11.6
55,192,189,0.989,4.04,0.97,20.88,20.79,0.103,0.186,228.2,1028.0,19.3,39.8,191.6,189.4,20,9.1
60,184,179,0.974,3.86,0.92,20.88,20.80,0.103,0.182,228.2,1028.0,19.3,39.8,183.9,179.1,24,9.9
65,172,173,1.005,3.64,0.87,20.88,20.80,0.103,0.179,228.2,1028.0,19.3,39.8,172.2,173.1,21,7.6
70,184,189,1.029,3.91,0.94,20.88,20.80,0.103,0.186,228.2,1028.0,19.3,39.8,184.1,189.5,17,4.2
75,211,208,0.983,4.45,1.06,20.88,20.79,0.103,0.194,228.2,1028.0,19.3,39.8,211.5,207.9,18,10.6
80,192,198,1.034,4.08,0.97,20.88,20.79,0.103,0.190,228.2,1028.0,19.3,39.8,191.6,198.1,22,9.4
85,174,185,1.065,3.73,0.89,20.88,20.80,0.103,0.185,228.2,1028.0,19.3,39.8,174.2,185.4,15,9.0
