tijd,VO2 (mL/min),VCO2 (mL/min),RER,Energy Expenditure (kJ/min),Energy Expenditure (kcal/min),FiO2 (%),FeO2 (%),FiCO2 (%),FeCO2 (%),Flow (sL/min),Pressure Ambient (mbar),Temperature Flow (Degrees Celsius),Relative Humidity Flow (%),Specific VO2 (mL/min/kg),Specific VCO2 (mL/min/kg),Respiratory Rate (1/min),Ventilation (sL/min)
475,1982,1788,0.902,40.98,9.79,20.88,20.46,0.100,0.485,463.7,1027.7,19.2,38.2,1982.2,1787.5,28,33.7
480,2071,1928,0.931,43.09,10.30,20.88,20.44,0.100,0.515,463.7,1027.7,19.2,38.2,2070.6,1928.4,24,36.4
485,2207,2034,0.922,45.83,10.95,20.88,20.41,0.100,0.538,463.7,1027.7,19.2,38.2,2206.8,2034.2,22,38.6
490,2150,1997,0.929,44.72,10.69,20.88,20.42,0.101,0.532,463.7,1027.7,19.2,38.2,2150.4,1997.1,25,36.1
495,2109,2027,0.961,44.17,10.56,20.88,20.43,0.101,0.538,463.7,1027.7,19.2,38.2,2108.5,2026.7,25,41.1
500,2101,2010,0.957,43.97,10.51,20.88,20.43,0.101,0.535,463.7,1027.7,19.2,38.2,2101.2,2010.0,25,37.3
505,2178,2065,0.948,45.50,10.87,20.88,20.42,0.101,0.547,463.7,1027.7,19.2,38.2,2178.1,2065.3,25,40.4
510,2264,2117,0.935,47.15,11.27,20.88,20.40,0.101,0.558,463.7,1027.7,19.2,38.2,2264.2,2116.6,24,43.7
515,2274,2132,0.938,47.39,11.33,20.88,20.40,0.101,0.561,463.7,1027.7,19.2,38.2,2274.1,2132.1,24,45.3
520,2243,2114,0.943,46.79,11.18,20.88,20.40,0.101,0.557,463.7,1027.7,19.2,38.2,2242.5,2114.3,25,33.9
525,2213,2117,0.957,46.30,11.07,20.88,20.41,0.101,0.558,463.7,1027.7,19.2,38.2,2212.6,2116.7,27,50.1
530,2232,2160,0.968,46.82,11.19,20.88,20.40,0.101,0.567,463.7,1027.7,19.2,38.2,2231.5,2160.4,25,49.9
535,2288,2229,0.974,48.07,11.49,20.88,20.39,0.101,0.582,462.7,1027.7,19.2,40.4,2288.1,2229.0,26,51.6
540,2365,2292,0.969,49.63,11.86,20.88,20.37,0.101,0.597,462.7,1027.7,19.2,40.4,2364.7,2291.7,28,59.2
545,2323,2282,0.983,48.89,11.68,20.88,20.38,0.101,0.595,462.7,1027.7,19.2,40.4,2322.8,2282.2,28,51.1
550,2440,2448,1.003,51.60,12.33,20.88,20.35,0.101,0.630,462.7,1027.7,19.2,40.4,2440.5,2447.8,29,52.8
555,2542,2545,1.001,53.73,12.84,20.88,20.33,0.101,0.651,462.7,1027.7,19.2,40.4,2542.3,2544.9,30,48.6
560,2498,2558,1.024,53.06,12.68,20.88,20.34,0.101,0.654,462.7,1027.7,19.2,40.4,2498.0,2557.9,27,44.7
565,2459,2542,1.034,52.34,12.51,20.88,20.35,0.101,0.651,462.7,1027.7,19.2,40.4,2458.8,2542.3,23,48.3
570,2524,2632,1.043,53.83,12.87,20.88,20.33,0.101,0.670,462.7,1027.7,19.2,40.4,2524.1,2631.9,23,54.0
575,2570,2661,1.035,54.73,13.08,20.88,20.32,0.101,0.676,462.7,1027.7,19.2,40.4,2570.3,2660.7,26,60.8
580,2530,2623,1.037,53.89,12.88,20.88,20.33,0.101,0.668,462.7,1027.7,19.2,40.4,2530.0,2622.8,28,59.2
