tijd,Cadence (RPM),Heart Rate (BPM),Speed (km/h),Power (W),Pedal Pressure (N)
0,0.0,79.0,0.0,0.0,0.0
5,0.0,78.0,0.0,0.0,0.0
10,0.0,78.6,0.0,0.0,0.0
15,0.0,79.6,0.0,0.0,0.0
20,0.0,79.6,0.0,0.0,0.0
25,0.0,79.0,0.0,0.0,0.0
30,0.0,78.0,0.0,0.0,0.0
35,0.0,77.0,0.0,0.0,0.0
40,0.0,76.0,0.0,0.0,0.0
45,0.0,76.0,0.0,0.0,0.0
50,0.0,76.0,0.0,0.0,0.0
55,0.0,76.0,0.0,0.0,0.0
60,0.0,15.2,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
75,0.0,43.8,0.0,0.0,0.0
80,0.0,73.0,0.0,0.0,0.0
85,0.0,73.0,0.0,0.0,0.0
90,0.0,74.8,0.0,0.0,0.0
95,0.0,77.0,0.0,0.0,0.0
100,0.0,79.0,0.0,0.0,0.0
105,2.1,80.0,1.3,1.8,9.6
110,7.0,80.8,4.2,6.0,38.5
115,0.0,82.8,0.0,0.0,0.0
120,0.0,85.2,0.0,0.0,0.0
125,0.0,86.8,0.0,0.0,0.0
130,0.0,89.4,0.0,0.0,0.0
135,0.0,90.8,0.0,0.0,0.0
140,0.0,87.2,0.0,0.0,0.0
145,0.0,83.4,0.0,0.0,0.0
150,0.0,80.6,0.0,0.0,0.0
155,0.0,80.0,0.0,0.0,0.0
160,0.0,81.0,0.0,0.0,0.0
165,0.0,81.0,0.0,0.0,0.0
170,0.0,80.8,0.0,0.0,0.0
175,0.0,79.8,0.0,0.0,0.0
180,0.0,79.0,0.0,0.0,0.0
185,5.7,80.6,3.4,4.9,28.9
190,1.7,83.2,1.0,1.4,9.6
195,0.0,84.6,0.0,0.0,0.0
200,0.0,86.2,0.0,0.0,0.0
205,0.0,88.8,0.0,0.0,0.0
210,0.0,90.0,0.0,0.0,0.0
215,0.0,88.6,0.0,0.0,0.0
220,0.0,85.8,0.0,0.0,0.0
225,0.0,83.4,0.0,0.0,0.0
230,0.0,83.6,0.0,0.0,0.0
235,6.8,88.0,4.1,5.8,19.2
240,55.9,92.2,33.6,47.8,48.0
245,76.3,94.4,45.9,65.2,48.0
250,80.3,98.4,48.3,68.7,48.0
255,81.4,103.8,49.0,69.6,48.0
260,80.7,106.0,48.5,69.0,48.0
265,79.2,107.0,47.6,93.6,66.4
270,81.2,107.0,48.8,100.0,69.2
275,80.0,107.0,48.1,100.0,70.2
280,81.1,109.2,48.7,100.0,69.3
285,80.7,114.0,48.5,100.0,69.6
290,81.0,118.0,48.7,100.0,69.4
295,80.9,119.8,48.6,120.0,83.4
300,80.6,120.8,48.5,120.0,83.6
305,81.2,122.2,48.8,120.0,83.0
310,80.9,124.2,48.6,120.0,83.3
315,80.9,126.0,48.7,120.0,83.3
320,80.9,127.4,48.7,120.0,83.3
325,79.8,129.4,48.0,140.0,98.5
330,80.6,131.8,48.4,140.0,97.6
335,80.6,133.4,48.4,140.0,97.6
340,80.2,135.2,48.3,140.0,98.0
345,80.8,138.2,48.6,140.0,97.4
350,80.1,140.4,48.2,140.0,98.1
355,79.8,141.0,48.0,160.0,112.7
360,79.2,141.2,47.6,160.0,113.4
365,79.4,142.0,47.8,160.0,113.2
370,78.7,143.4,47.3,160.0,114.3
375,79.9,146.2,48.0,160.0,112.5
380,80.3,148.6,48.3,160.0,112.0
385,79.9,150.4,48.0,180.0,126.6
390,79.3,151.0,47.7,180.0,127.5
395,79.6,152.4,47.8,180.0,127.1
400,79.2,154.6,47.7,180.0,127.6
405,80.2,157.6,48.3,180.0,126.0
410,79.9,159.0,48.1,180.0,126.5
415,80.1,159.2,48.1,200.0,140.3
420,79.7,160.0,47.9,200.0,141.1
425,79.0,160.6,47.5,200.0,142.1
430,79.3,162.0,47.7,200.0,141.6
435,79.2,163.0,47.6,200.0,141.9
440,80.2,163.0,48.2,200.0,140.1
445,79.2,163.6,47.6,220.0,156.1
450,78.5,164.0,47.2,220.0,157.4
455,79.7,165.8,47.9,220.0,155.0
460,79.1,168.2,47.6,220.0,156.2
465,79.6,169.8,47.9,220.0,155.3
470,80.2,171.0,48.2,220.0,154.1
475,79.4,171.4,47.8,240.0,169.7
480,79.7,172.6,47.9,240.0,169.1
485,79.7,173.0,47.9,240.0,169.1
490,80.4,173.0,48.4,240.0,167.6
495,80.3,173.8,48.3,240.0,168.0
500,81.4,174.0,48.9,240.0,165.7
505,81.1,174.0,48.8,260.0,180.0
510,80.8,174.4,48.6,260.0,180.8
515,79.7,175.0,47.9,260.0,183.2
520,79.7,176.2,47.9,260.0,183.2
525,79.6,177.0,47.9,260.0,183.5
530,79.6,177.4,47.9,260.0,183.5
535,79.6,178.0,47.9,280.0,197.6
540,79.4,179.0,47.8,280.0,198.1
545,80.1,179.0,48.2,280.0,196.4
550,80.8,179.0,48.6,280.0,194.7
555,80.4,180.0,48.3,280.0,195.8
560,78.9,181.0,47.5,280.0,199.3
565,81.3,182.0,48.9,300.0,207.3
570,80.5,182.8,48.4,300.0,209.5
575,80.7,183.0,48.5,300.0,208.8
580,78.9,183.0,47.4,300.0,213.7
585,77.6,183.4,46.7,300.0,217.2
590,78.7,184.0,47.3,300.0,214.1
595,72.1,184.6,43.4,320.0,249.7
600,29.0,185.0,17.4,154.7,241.8
605,6.1,186.0,3.6,11.4,34.8
610,28.8,186.0,17.3,50.0,98.0
615,26.1,185.2,15.7,50.0,108.9
